timestamp,f6p,f16bp
0.0,0.1,0.1
0.1,0.22549057585717225,2.0134562811801597
0.2,0.28674611360165003,3.001565255629408
0.3,0.32056227057666764,3.7251478008174597
0.4,0.3406494407289303,4.306573387387997
0.5,0.3531275297201872,4.796027698111333
0.6,0.3611387141539047,5.219786506606854
0.7,0.366431367786837,5.593819055991399
0.8,0.3700297375719339,5.928399735917457
0.9,0.37254078371997856,6.230883946848869
1.0,0.3743491645429555,6.506745807761819
1.1,0.3756875197518024,6.759817829096644
1.2,0.3767128138021145,6.993409258963434
1.3,0.3775154932629929,7.210002714085034
1.4,0.37816687944031413,7.411450121923547
1.5,0.37870545219634116,7.599739784288848
1.6,0.3791584978324849,7.77608403626535
1.7,0.37955034444203256,7.941556790150631
1.8,0.37989259949752285,8.097403851064604
1.9,0.3801942181868285,8.244469219446767
2.0,0.3804629258013508,8.383380659178922
2.1,0.3807064476324912,8.514765934142867
2.2,0.38092764619372516,8.639355363233785
2.3,0.3811288236351131,8.757712406069347
2.4,0.38131274709974966,8.870199979712323
2.5,0.3814820338023925,8.977181669529456
2.6,0.38163930095779897,9.07902106088748
2.7,0.3817857944848583,9.17611680945679
2.8,0.3819215252475997,9.268865752642034
2.9,0.3820477295931936,9.357485239252522
3.0,0.38216540825644446,9.442182782477872
3.1,0.3822755619721567,9.5231658955077
3.2,0.3823791914751349,9.60064209153163
3.3,0.38247729750018344,9.67481888373928
3.4,0.3825696723725052,9.745928815878878
3.5,0.3826565389363672,9.814180540929273
3.6,0.38273836106598413,9.879691509563651
3.7,0.38281554209044216,9.942577613931386
3.8,0.3828884853388267,10.002954746181848
3.9,0.38295759414022373,10.06093879846441
4.0,0.3830232718237189,10.116645662928443
4.1,0.38308592171839806,10.170191231723319
4.2,0.38314590889814437,10.221689258703128
4.3,0.3832028371473382,10.271258658318853
4.4,0.38325695348148464,10.319018620839891
4.5,0.3833084175091802,10.365031459597272
4.6,0.383357388839022,10.40935948792203
4.7,0.3834040270796065,10.452065019145193
4.8,0.3834484918395308,10.493210366597797
4.9,0.3834909427273914,10.53285784361087
5.0,0.38353153935178536,10.571069763515448
5.1,0.3835704413213093,10.607908439642557
5.2,0.3836078082445601,10.643436185323235
5.3,0.3836437997301345,10.677715313888509
5.4,0.3836785016726376,10.710795391768976
5.5,0.3837116682330729,10.742725168582579
5.6,0.3837434478873334,10.77358843602911
5.7,0.3837738985083298,10.803415956549985
5.8,0.38380307796897284,10.83223849258663
5.9,0.3838310441421734,10.860086806580465
6.0,0.38385785490084207,10.886991660972914
6.1,0.38388356811788976,10.912983818205397
6.2,0.3839082416662271,10.938094040719335
6.3,0.383931933418765,10.962353090956153
6.4,0.3839547012484141,10.98579173135727
6.5,0.3839766030280852,11.008440724364108
6.6,0.383997696630689,11.030330832418091
6.7,0.3840180399291363,11.05149281796064
6.8,0.38403769079633787,11.071957443433176
6.9,0.38405670710520445,11.09175547127712
7.0,0.3840751467286468,11.110917663933895
7.1,0.38409306753957567,11.129474783844923
7.2,0.38411027198984854,11.147403638867742
7.3,0.38412682988205055,11.16476861274787
7.4,0.384142789034067,11.181592214855305
7.5,0.38415816907974293,11.197888244053566
7.6,0.3841729896529232,11.213670499206167
7.7,0.38418727038745304,11.228952779176632
7.8,0.38420103091717733,11.243748882828475
7.9,0.3842142908759412,11.258072609025218
8.0,0.3842270698975896,11.27193775663038
8.1,0.3842393876159676,11.285358124507477
8.2,0.38425126366492035,11.29834751152003
8.3,0.38426271767829273,11.310919716531558
8.4,0.38427376928992985,11.32308853840558
8.5,0.38428443813367674,11.334867776005611
8.6,0.3842947438433784,11.346271228195173
8.7,0.3843047060528799,11.357312693837784
8.8,0.3843143443960263,11.368005971796965
8.9,0.38432367850666255,11.37836486093623
9.0,0.3843327280186338,11.388403160119102
9.1,0.3843415125657849,11.398134668209096
9.2,0.38435005178196113,11.407573184069735
9.3,0.38435836530100737,11.416732506564534
9.4,0.38436647275676866,11.425626434557014
9.5,0.38437429071758494,11.43423756430167
9.6,0.38438180047174786,11.442573122972432
9.7,0.38438904772041127,11.450651773767818
9.8,0.38439604792133736,11.458481616922688
9.9,0.3844028165322879,11.4660707526719
10.0,0.38440936901102507,11.473427281250311
